Categoria: Todas as categorias

País,data journalism: (12/04/2014 – 12/04/2019)
Nigéria,100
África do Sul,52
Itália,43
Austrália,43
Reino Unido,39
Estados Unidos,30
Canadá,29
Alemanha,17
Índia,16
Butão,
Gibraltar,
Timor-Leste,
Guiana,
Libéria,
Mongólia,
Gana,
Serra Leoa,
Afeganistão,
Ruanda,
Cuba,
China,
Malaui,
Camarões,
Mianmar (Birmânia),
Uganda,
Tanzânia,
Quênia,
Etiópia,
Zimbábue,
Irlanda,
Chipre,
Hong Kong,
Macau,
Armênia,
Jamaica,
Nepal,
Geórgia,
Grécia,
Islândia,
Filipinas,
Zâmbia,
Coreia do Sul,
Quirguistão,
Suíça,
Malta,
Dinamarca,
Singapura,
Camboja,
Uzbequistão,
Líbano,
Maurício,
Senegal,
Países Baixos,
Noruega,
Áustria,
Trinidad e Tobago,
Luxemburgo,
Líbia,
Paquistão,
Catar,
Bélgica,
Taiwan,
Portugal,
Bangladesh,
Nova Zelândia,
Espanha,
Finlândia,
Macedônia (ARIM),
Suécia,
Malásia,
Israel,
Sudão,
Egito,
Uruguai,
Tchéquia,
Romênia,
Sérvia,
Estônia,
Tunísia,
Bolívia,
Eslováquia,
El Salvador,
Indonésia,
Letônia,
Porto Rico,
França,
Marrocos,
Hungria,
Azerbaijão,
Eslovênia,
Polônia,
Ucrânia,
Costa Rica,
Guatemala,
Chile,
Sri Lanka,
Lituânia,
Jordânia,
Equador,
Turquia,
Cazaquistão,
República Dominicana,
Argentina,
Colômbia,
Rússia,
Brasil,
Croácia,
Iraque,
Japão,
Bielorrússia,
Tailândia,
Venezuela,
México,
Emirados Árabes Unidos,
Vietnã,
Argélia,
Irã,
Peru,
Arábia Saudita,
Aruba,
Angola,
Anguila,
Ilhas Aland,
Albânia,
Andorra,
Samoa Americana,
Antártida,
Territórios Franceses do Sul,
Antígua e Barbuda,
Burundi,
Benin,
Países Baixos Caribenhos,
Burquina Faso,
Bulgária,
Bahrein,
Bahamas,
Bósnia e Herzegovina,
São Bartolomeu,
Belize,
Bermudas,
Barbados,
Brunei,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Ilhas Cocos (Keeling),
Costa do Marfim,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Comores,
Cabo Verde,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Djibuti,
Dominica,
Eritreia,
Saara Ocidental,
Fiji,
Ilhas Falkland (Ilhas Malvinas),
Ilhas Faroe,
Micronésia,
Gabão,
Guernsey,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Granada,
Groenlândia,
Guiana Francesa,
Guam,
Ilhas Heard e McDonald,
Honduras,
Haiti,
Ilha de Man,
Território Britânico do Oceano Índico,
Jersey,
Quiribati,
São Cristóvão e Névis,
Kuwait,
Laos,
Santa Lúcia,
Liechtenstein,
Lesoto,
São Martinho,
Mônaco,
Moldova,
Madagascar,
Maldivas,
Ilhas Marshall,
Mali,
Montenegro,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nicarágua,
Niue,
Nauru,
Omã,
Panamá,
Ilhas Pitcairn,
Palau,
Papua-Nova Guiné,
Coreia do Norte,
Paraguai,
Palestina,
Polinésia Francesa,
Reunião,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
San Marino,
Somália,
São Pedro e Miquelão,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Suazilândia,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tadjiquistão,
Tokelau,
Turcomenistão,
Tonga,
Tuvalu,
Ilhas Menores Distantes dos EUA,
Cidade do Vaticano,
São Vicente e Granadinas,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
