Categoria: Todas as categorias

Semana,data journalism: (Todo o mundo)
2014-04-13,42
2014-04-20,47
2014-04-27,44
2014-05-04,84
2014-05-11,35
2014-05-18,100
2014-05-25,78
2014-06-01,39
2014-06-08,51
2014-06-15,58
2014-06-22,58
2014-06-29,25
2014-07-06,61
2014-07-13,58
2014-07-20,68
2014-07-27,34
2014-08-03,42
2014-08-10,27
2014-08-17,33
2014-08-24,27
2014-08-31,35
2014-09-07,43
2014-09-14,34
2014-09-21,71
2014-09-28,34
2014-10-05,40
2014-10-12,34
2014-10-19,70
2014-10-26,61
2014-11-02,55
2014-11-09,38
2014-11-16,31
2014-11-23,38
2014-11-30,24
2014-12-07,27
2014-12-14,39
2014-12-21,18
2014-12-28,12
2015-01-04,40
2015-01-11,37
2015-01-18,54
2015-01-25,54
2015-02-01,34
2015-02-08,39
2015-02-15,32
2015-02-22,35
2015-03-01,54
2015-03-08,61
2015-03-15,38
2015-03-22,47
2015-03-29,27
2015-04-05,26
2015-04-12,46
2015-04-19,46
2015-04-26,50
2015-05-03,36
2015-05-10,59
2015-05-17,51
2015-05-24,31
2015-05-31,49
2015-06-07,39
2015-06-14,59
2015-06-21,31
2015-06-28,29
2015-07-05,52
2015-07-12,39
2015-07-19,21
2015-07-26,26
2015-08-02,34
2015-08-09,36
2015-08-16,20
2015-08-23,33
2015-08-30,52
2015-09-06,32
2015-09-13,48
2015-09-20,51
2015-09-27,24
2015-10-04,57
2015-10-11,46
2015-10-18,64
2015-10-25,57
2015-11-01,36
2015-11-08,26
2015-11-15,66
2015-11-22,54
2015-11-29,66
2015-12-06,43
2015-12-13,39
2015-12-20,40
2015-12-27,46
2016-01-03,53
2016-01-10,42
2016-01-17,30
2016-01-24,52
2016-01-31,27
2016-02-07,40
2016-02-14,52
2016-02-21,68
2016-02-28,50
2016-03-06,46
2016-03-13,57
2016-03-20,40
2016-03-27,57
2016-04-03,89
2016-04-10,59
2016-04-17,39
2016-04-24,54
2016-05-01,74
2016-05-08,60
2016-05-15,62
2016-05-22,83
2016-05-29,54
2016-06-05,50
2016-06-12,54
2016-06-19,33
2016-06-26,54
2016-07-03,38
2016-07-10,58
2016-07-17,43
2016-07-24,34
2016-07-31,35
2016-08-07,30
2016-08-14,42
2016-08-21,40
2016-08-28,62
2016-09-04,44
2016-09-11,34
2016-09-18,33
2016-09-25,76
2016-10-02,30
2016-10-09,38
2016-10-16,73
2016-10-23,30
2016-10-30,48
2016-11-06,53
2016-11-13,57
2016-11-20,37
2016-11-27,50
2016-12-04,51
2016-12-11,57
2016-12-18,43
2016-12-25,29
2017-01-01,34
2017-01-08,51
2017-01-15,42
2017-01-22,64
2017-01-29,59
2017-02-05,50
2017-02-12,65
2017-02-19,43
2017-02-26,67
2017-03-05,55
2017-03-12,53
2017-03-19,75
2017-03-26,57
2017-04-02,44
2017-04-09,60
2017-04-16,60
2017-04-23,52
2017-04-30,37
2017-05-07,53
2017-05-14,44
2017-05-21,45
2017-05-28,47
2017-06-04,29
2017-06-11,44
2017-06-18,57
2017-06-25,50
2017-07-02,35
2017-07-09,47
2017-07-16,22
2017-07-23,22
2017-07-30,50
2017-08-06,45
2017-08-13,48
2017-08-20,45
2017-08-27,52
2017-09-03,52
2017-09-10,49
2017-09-17,44
2017-09-24,30
2017-10-01,35
2017-10-08,51
2017-10-15,33
2017-10-22,46
2017-10-29,45
2017-11-05,56
2017-11-12,62
2017-11-19,40
2017-11-26,44
2017-12-03,60
2017-12-10,40
2017-12-17,42
2017-12-24,27
2017-12-31,37
2018-01-07,61
2018-01-14,30
2018-01-21,62
2018-01-28,28
2018-02-04,56
2018-02-11,26
2018-02-18,45
2018-02-25,55
2018-03-04,49
2018-03-11,62
2018-03-18,78
2018-03-25,54
2018-04-01,71
2018-04-08,74
2018-04-15,50
2018-04-22,56
2018-04-29,46
2018-05-06,66
2018-05-13,59
2018-05-20,39
2018-05-27,60
2018-06-03,39
2018-06-10,30
2018-06-17,26
2018-06-24,26
2018-07-01,37
2018-07-08,43
2018-07-15,24
2018-07-22,33
2018-07-29,31
2018-08-05,36
2018-08-12,37
2018-08-19,46
2018-08-26,41
2018-09-02,32
2018-09-09,59
2018-09-16,53
2018-09-23,59
2018-09-30,55
2018-10-07,45
2018-10-14,52
2018-10-21,49
2018-10-28,66
2018-11-04,42
2018-11-11,55
2018-11-18,41
2018-11-25,44
2018-12-02,39
2018-12-09,56
2018-12-16,28
2018-12-23,29
2018-12-30,34
2019-01-06,30
2019-01-13,38
2019-01-20,50
2019-01-27,40
2019-02-03,50
2019-02-10,51
2019-02-17,56
2019-02-24,57
2019-03-03,65
2019-03-10,63
2019-03-17,40
2019-03-24,57
2019-03-31,50
2019-04-07,53
